content,count,phrase_id,script_id
"In the quiet library, students gathered around tables, their whispers merging with the rustle of pages and clicking of keyboards.",2,script-0002-p2,script-0002
"The garden was alive with the buzz of bees and the sweet aroma of blooming flowers, inviting visitors to linger.",3,script-0002-p3,script-0002
"The sun dipped below the horizon, casting a golden glow over the city as people hurried to finish their day.",1,script-0002-p1,script-0002
"The concert hall resonated with the harmonious blend of violins and cellos, captivating the audience in a spell of musical bliss.",1,script-0003-p1,script-0003
"Early risers at the beach watched the sunrise, the sky a canvas of pink and orange hues, reflecting on gentle waves.",2,script-0003-p2,script-0003
"In the bustling café, baristas crafted perfect cups of coffee, the aroma mingling with the sound of frothing milk and casual conversations.",3,script-0003-p3,script-0003
"The narrow alley was lit by strings of small lights, creating a magical pathway that invited curious explorers into its depths.",1,script-0004-p1,script-0004
"The aroma of freshly baked bread wafted through the small bakery, drawing locals in with the promise of warmth and comfort.",2,script-0004-p2,script-0004
"As the lecture ended, students gathered their belongings, buzzing with energy and discussing the new concepts they had just learned.",3,script-0004-p3,script-0004
"The forest trail was blanketed in autumn leaves, their crunch underfoot a constant companion to the hikers exploring the serene path.",1,script-0005-p1,script-0005
The local farmers' market bustled with activity as vendors proudly displayed the fruits of their labor under colorful canopies.,2,script-0005-p2,script-0005
"The village square came alive at dusk, children playing tag while parents chatted amiably, enjoying the cool evening breeze.",3,script-0005-p3,script-0005
The quaint bookshop on the corner welcomes a steady stream of readers eager to lose themselves in new adventures daily.,1,script-0006-p1,script-0006
"Every morning, she takes a quiet walk with her dog along the path that winds through the softly whispering woods.",2,script-0006-p2,script-0006
He always starts his day with a cup of black coffee and a fresh pastry while watching the sunrise quietly.,3,script-0006-p3,script-0006
